tool	rank	metric	sample	value
CONSULT-II	superkingdom	Bray-Curtis distance	1	0.03223426407595162
CONSULT-II	phylum	Bray-Curtis distance	1	0.19571817345622486
CONSULT-II	class	Bray-Curtis distance	1	0.0945377780111341
CONSULT-II	order	Bray-Curtis distance	1	0.35465021967510013
CONSULT-II	family	Bray-Curtis distance	1	0.189840337281353
CONSULT-II	genus	Bray-Curtis distance	1	0.32171245116664043
CONSULT-II	species	Bray-Curtis distance	1	0.8409580179383104
CONSULT-II	strain	Bray-Curtis distance	1	1.0
CONSULT-II	superkingdom	Shannon diversity	1	0.17087992928308296
CONSULT-II	superkingdom	Shannon equitability	1	0.24652762656416055
CONSULT-II	phylum	Shannon diversity	1	1.5023113398016164
CONSULT-II	phylum	Shannon equitability	1	0.41006853027537465
CONSULT-II	class	Shannon diversity	1	2.217284676715295
CONSULT-II	class	Shannon equitability	1	0.5031599592126985
CONSULT-II	order	Shannon diversity	1	3.144228971481581
CONSULT-II	order	Shannon equitability	1	0.602301658514706
CONSULT-II	family	Shannon diversity	1	3.967546760782565
CONSULT-II	family	Shannon equitability	1	0.6589489079478813
CONSULT-II	genus	Shannon diversity	1	5.125899391869916
CONSULT-II	genus	Shannon equitability	1	0.6721966408369081
CONSULT-II	species	Shannon diversity	1	6.533511440918546
CONSULT-II	species	Shannon equitability	1	0.7193781105737662
CONSULT-II	strain	Shannon diversity	1	0.0012398416242643535
CONSULT-II	strain	Shannon equitability	1	0.0004989489743488475
CONSULT-II	superkingdom	True positives	1	2.0
CONSULT-II	superkingdom	False negatives	1	0.0
CONSULT-II	superkingdom	False positives	1	0.0
CONSULT-II	superkingdom	Completeness	1	1.0
CONSULT-II	superkingdom	Purity	1	1.0
CONSULT-II	superkingdom	F1 score	1	1.0
CONSULT-II	superkingdom	Jaccard index	1	1.0
CONSULT-II	phylum	True positives	1	12.0
CONSULT-II	phylum	False negatives	1	0.0
CONSULT-II	phylum	False positives	1	27.0
CONSULT-II	phylum	Completeness	1	1.0
CONSULT-II	phylum	Purity	1	0.3076923076923077
CONSULT-II	phylum	F1 score	1	0.47058823529411764
CONSULT-II	phylum	Jaccard index	1	0.3076923076923077
CONSULT-II	class	True positives	1	21.0
CONSULT-II	class	False negatives	1	0.0
CONSULT-II	class	False positives	1	61.0
CONSULT-II	class	Completeness	1	1.0
CONSULT-II	class	Purity	1	0.25609756097560976
CONSULT-II	class	F1 score	1	0.4077669902912621
CONSULT-II	class	Jaccard index	1	0.25609756097560976
CONSULT-II	order	True positives	1	40.0
CONSULT-II	order	False negatives	1	0.0
CONSULT-II	order	False positives	1	145.0
CONSULT-II	order	Completeness	1	1.0
CONSULT-II	order	Purity	1	0.21621621621621623
CONSULT-II	order	F1 score	1	0.35555555555555557
CONSULT-II	order	Jaccard index	1	0.21621621621621623
CONSULT-II	family	True positives	1	84.0
CONSULT-II	family	False negatives	1	4.0
CONSULT-II	family	False positives	1	328.0
CONSULT-II	family	Completeness	1	0.9545454545454546
CONSULT-II	family	Purity	1	0.20388349514563106
CONSULT-II	family	F1 score	1	0.336
CONSULT-II	family	Jaccard index	1	0.20192307692307693
CONSULT-II	genus	True positives	1	175.0
CONSULT-II	genus	False negatives	1	19.0
CONSULT-II	genus	False positives	1	1875.0
CONSULT-II	genus	Completeness	1	0.9020618556701031
CONSULT-II	genus	Purity	1	0.08536585365853659
CONSULT-II	genus	F1 score	1	0.1559714795008913
CONSULT-II	genus	Jaccard index	1	0.0845819236346061
CONSULT-II	species	True positives	1	56.0
CONSULT-II	species	False negatives	1	185.0
CONSULT-II	species	False positives	1	8741.0
CONSULT-II	species	Completeness	1	0.23236514522821577
CONSULT-II	species	Purity	1	0.006365806524951688
CONSULT-II	species	F1 score	1	0.012392122150918344
CONSULT-II	species	Jaccard index	1	0.006234691605433089
CONSULT-II	strain	True positives	1	0.0
CONSULT-II	strain	False negatives	1	596.0
CONSULT-II	strain	False positives	1	12.0
CONSULT-II	strain	Completeness	1	0.0
CONSULT-II	strain	Purity	1	0.0
CONSULT-II	strain	Jaccard index	1	0.0
CONSULT-II	superkingdom	L1 norm error	1	0.06446852815190002
CONSULT-II	phylum	L1 norm error	1	0.391439444481423
CONSULT-II	class	L1 norm error	1	0.18906957549562797
CONSULT-II	order	L1 norm error	1	0.7091876535389704
CONSULT-II	family	L1 norm error	1	0.3791877121626881
CONSULT-II	genus	L1 norm error	1	0.6321760017007666
CONSULT-II	species	L1 norm error	1	1.2918656586106771
CONSULT-II	strain	L1 norm error	1	1.0001201466942662
CONSULT-II	na	Weighted UniFrac error	1	0.03459442484065158
CONSULT-II	na	Unweighted UniFrac error	1	11.601324921621517
CONSULT-II	na	Weighted UniFrac (CAMI)	1	4.774513733613124
CONSULT-II	na	Unweighted UniFrac (CAMI)	1	63912.57474483445
CONSULT-II	superkingdom	Sum of abundances	1	0.9999999999999
CONSULT-II	phylum	Sum of abundances	1	1.0000158266803671
CONSULT-II	class	Sum of abundances	1	0.9999377392933697
CONSULT-II	order	Sum of abundances	1	0.999681980145582
CONSULT-II	family	Sum of abundances	1	0.9974022789496816
CONSULT-II	genus	Sum of abundances	1	0.9975943013093791
CONSULT-II	species	Sum of abundances	1	0.992263294592771
CONSULT-II	strain	Sum of abundances	1	0.00011114669426599999
CONSULT-II	superkingdom	Taxon counts	1	2.0
CONSULT-II	phylum	Taxon counts	1	39.0
